instance_id,group_id,image_key,dataset,split,model_id,answer_type,closed_answer_eligible,image_excluded_from_fit,proposed_fit_eligible
hallusionbench_1000_1000,sha256:ab42696611a72a66,hallusionbench:VD/video/4_2.png,hallusionbench,test,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_1002_1002,sha256:ceb82f40c729fcb3,hallusionbench:VD/video/4_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1011_1011,sha256:b66495f66817a7e1,hallusionbench:VD/video/6_0.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1012_1012,sha256:ba82ebe75fb30fbd,hallusionbench:VD/video/6_0.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1020_1020,sha256:54417cc9b11e5900,hallusionbench:VD/video/7_0.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1021_1021,sha256:d84638eff983407d,hallusionbench:VD/video/7_0.png,hallusionbench,val,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1022_1022,sha256:38729bc4d07cba0f,hallusionbench:VD/video/7_0.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1024_1024,sha256:91ad5ee49ee26796,hallusionbench:VD/video/7_1.png,hallusionbench,test,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_1034_1034,sha256:063b496d7ad6567b,hallusionbench:VD/video/8_1.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_103_103,sha256:707566f2c30c3161,hallusionbench:VS/chart/8_1.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1044_1044,sha256:1464bdaae6ae2f8a,hallusionbench:VD/video/10_0.png,hallusionbench,cal,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_1046_1046,sha256:5e120f0e05fbd6a7,hallusionbench:VD/video/10_1.png,hallusionbench,cal,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_1049_1049,sha256:eb05b156de250250,hallusionbench:VD/video/10_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1055_1055,sha256:ab567c79761d66e2,hallusionbench:VD/video/11_0.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1058_1058,sha256:fe3c342eb33169c0,hallusionbench:VD/video/11_1.png,hallusionbench,val,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1060_1060,sha256:329d1eb40c9da3a9,hallusionbench:VD/video/11_1.png,hallusionbench,val,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1062_1062,sha256:0346b6eb6743f6c8,hallusionbench:VD/video/11_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1076_1076,sha256:d436b844833da996,hallusionbench:VD/video/13_0.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1078_1078,sha256:2fbc1ec5cb7a9cce,hallusionbench:VD/video/14_0.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_107_107,sha256:294a2a34060d4c6c,hallusionbench:VS/chart/8_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1081_1081,sha256:0de0c64dbde03da9,hallusionbench:VD/video/14_1.png,hallusionbench,cal,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_1085_1085,sha256:624b58be8ad442a7,hallusionbench:VD/video/14_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1091_1091,sha256:2675743126f9cb79,hallusionbench:VD/video/15_1.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1094_1094,sha256:3d8a93c3c6ed53a8,hallusionbench:VD/video/16_0.png,hallusionbench,cal,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_1102_1102,sha256:bbe1781019eb7c25,hallusionbench:VD/video/17_1.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1105_1105,sha256:350daf5b95265311,hallusionbench:VD/video/18_0.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1107_1107,sha256:c7b0460363be8f8a,hallusionbench:VD/video/18_0.png,hallusionbench,cal,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_1111_1111,sha256:655a3f7dffb33b83,hallusionbench:VD/video/18_1.png,hallusionbench,test,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_1112_1112,sha256:41a99054788a82ff,hallusionbench:VD/video/18_1.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1113_1113,sha256:f0508460e60c8fd2,hallusionbench:VD/video/18_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1114_1114,sha256:7269e4a027030ef8,hallusionbench:VD/video/18_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1119_1119,sha256:dd724a283ad37e32,hallusionbench:VD/video/19_0.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1120_1120,sha256:25946a1b2f338e6f,hallusionbench:VD/video/19_0.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1122_1122,sha256:cba0b385f5a4128f,hallusionbench:VD/video/19_1.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_1127_1127,sha256:0764349c0eeefc2d,hallusionbench:VD/video/19_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_1128_1128,sha256:420227f423e0bddf,hallusionbench:VD/video/19_2.png,hallusionbench,cal,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_113_113,sha256:847d8d401e1da838,hallusionbench:VS/chart/9_1.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_116_116,sha256:2b113149dae04440,hallusionbench:VS/chart/9_1.png,hallusionbench,test,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_130_130,sha256:86a4e16af7840b28,hallusionbench:VS/chart/10_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_143_143,sha256:9236538fbd708640,hallusionbench:VS/chart/12_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_145_145,sha256:e4f5d1e430c14d86,hallusionbench:VS/chart/12_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
hallusionbench_151_151,sha256:479b9e0f750f2e5a,hallusionbench:VS/chart/13_2.png,hallusionbench,cal,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_155_155,sha256:8cc9564f093a8cb9,hallusionbench:VS/chart/14_1.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_156_156,sha256:97990107983f0406,hallusionbench:VS/chart/14_1.png,hallusionbench,cal,google/gemma-4-E4B-it,binary,1,0,0
hallusionbench_157_157,sha256:19d8eebe70766105,hallusionbench:VS/chart/14_1.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,1,0
hallusionbench_159_159,sha256:440f0f566fbfca94,hallusionbench:VS/chart/14_2.png,hallusionbench,train,google/gemma-4-E4B-it,binary,1,0,1
